Year,FossilEnergy,NuclearEnergy,RenewableEnergy,TotalEnergy,TotalCO2,FossilShare,RenewableShare,NuclearShare,CO2Intensity
1973,70.28245,0.910177,2.475544,73.716886,4721.247,95.34104574086322,3.3581776636631124,1.2346926862862873,64.04566519535294
1974,67.872076,1.272083,2.586001,71.773471,4561.336,94.56429381825494,3.603003956712641,1.772358201820837,63.551837976457904
1975,65.32299,1.899798,2.544167,69.788058,4428.225,93.60195980808062,3.645562110354181,2.7222393837065937,63.45247492056592
1976,69.071379,2.111121,2.704698,73.916575,4694.906,93.44504801527938,3.6591224633987713,2.8560860672995196,63.516281700011135
1977,70.949841,2.701762,2.613474,76.324499,4835.436,92.95814833976179,3.4241613561066413,3.5398358789096016,63.35365529225419
1978,71.80982,3.024126,3.014948,77.916212,4884.4,92.16287362635134,3.869474558131753,3.8812538782044483,62.687852433072585
1979,72.843726,2.775827,3.131031,78.819964,4950.212,92.41786256081011,3.9723831896193205,3.5217308650382027,62.80403781965697
1980,69.782203,2.739169,3.445378,76.038149,4756.649,91.77262192429222,4.531117663056211,3.6023614935708124,62.556086156174054
1981,67.522504,3.007589,3.515922,74.15942,4637.006,91.05047477447908,4.741032224901436,4.055572441100537,62.52753864579848
1982,63.835377,3.131148,3.745796,70.812347,4404.781,90.14724084770131,5.289749822866343,4.421754302254661,62.20357305767594
1983,63.096686,3.202549,4.069164,70.488946,4384.28,89.51288050185912,5.772768967207993,4.543335064195739,62.19812110681865
1984,66.444979,3.552531,4.104121,74.236954,4613.221,89.50391337446308,5.528407051830278,4.785394346863963,62.14184111056065
1985,66.0349,4.075563,4.018174,74.268292,4605.714,88.91398768131089,5.410349277993359,5.487621823859905,62.01454047172648
1986,65.985158,4.380109,3.970473,74.458221,4616.006,88.62037947428264,5.332484374022313,5.882639876663183,61.99457814067302
1987,68.474361,4.753933,3.774443,77.160838,4775.915,88.7423760224066,4.891656308864867,6.161069686671884,61.89558231599299
1988,71.507048,5.586968,3.822682,81.025097,4998.597,88.25296191870032,4.717898702423028,6.895354904666143,61.691959467817725
1989,72.865725,5.602161,4.206136,82.711472,5084.97,88.09627399691303,5.085311503100804,6.773136621241608,61.47841257135407
1990,72.280598,6.10435,3.862708,82.255545,5038.314,87.87322240707299,4.695984933295379,7.421201816850159,61.251967876451374
1991,71.823417,6.422132,3.901431,82.213947,4992.85,87.3615969319658,4.745461253672689,7.811487265050053,60.72996349390694
1992,73.338389,6.479206,3.931748,83.836077,5093.723,87.47831676331897,4.689804366680946,7.728422216130175,60.75812683840156
1993,74.678844,6.410499,4.007038,85.19129,5185.699,87.66018685713058,4.703577091038298,7.524829122789431,60.871234606260806
1994,76.149278,6.693877,4.056461,87.052554,5262.76,87.4750647752391,4.659784019662421,7.689466526163034,60.45497527849671
1995,77.162044,7.075436,4.296643,88.667979,5325.123,87.0235736398142,4.845766248940895,7.979696932079618,60.056889308371396
1996,79.698299,7.086674,4.481499,91.403616,5518.28,87.19381408280391,4.902977799040249,7.753165914136264,60.37266621924454
1997,80.779682,6.596992,4.463375,91.956252,5590.151,87.84577474949717,4.853802653896768,7.174054897322262,60.791418510619586
1998,81.272862,7.067809,4.172699,92.601594,5637.009,87.76615875532336,4.506076860836758,7.632491725790377,60.87377934336637
1999,82.321598,7.610256,4.20076,94.231538,5699.945,87.36098311374265,4.457913018463096,8.076124152828749,60.48871875571
2000,84.620442,7.862349,4.095599,96.69359,5888.726,87.51401411406898,4.235646851047727,8.131199803420268,60.900893223635606
2001,82.799758,8.028853,3.511945,94.415713,5778.345,87.69701077192522,3.719661577940951,8.503725433922211,61.201094779636946
2002,83.59225,8.145429,3.766156,95.575431,5820.006,87.4620696191263,3.940506425757055,8.522513489894699,60.89437357598733
2003,83.909087,7.959622,3.915879,95.806493,5886.964,87.58183748569107,4.08727934546148,8.308019374010486,61.44639904520876
2004,85.666271,8.222774,4.105527,98.033168,5994.0,87.38498688525499,4.187895876220179,8.38774688990975,61.14257166513276
2005,85.622667,8.16081,4.232904,98.100924,6007.546,87.28018402762446,4.314846208788003,8.318790147175372,61.23842421708485
2006,84.477197,8.214626,4.480272,97.234944,5929.904,86.87946279888844,4.607676845065083,8.448224128148828,60.98531820000843
2007,85.805032,8.458589,4.594859,98.965112,6015.262,86.70230373709879,4.642907896673728,8.54704130481861,60.78164191841666
2008,83.040546,8.426491,5.067705,96.646728,5823.338,85.9217354983813,5.243534990651727,8.71885802486764,60.25385567114078
2009,77.862484,8.35522,5.292537,91.626429,5403.968,84.97819335510718,5.776212232389849,9.118788204656541,58.97826706746369
2010,80.723061,8.434433,5.895677,95.141804,5593.816,84.84499726324299,6.196726099496706,8.865117798270886,58.794512662383404
2011,79.262601,8.268698,6.308059,93.966459,5454.851,84.35201437142588,6.713096425182948,8.799627109498722,58.051043511174555
2012,77.303882,8.061822,6.150362,91.677322,5236.478,84.32170608124875,6.708705998196588,8.793692730247944,57.11857508228698
2013,79.22427,8.244433,6.587023,94.253199,5359.017,84.05472794615704,6.988646613469323,8.747112127196873,56.85766697425304
2014,80.016732,8.337559,6.796126,95.331976,5414.028,83.9348300091881,7.128904996157848,8.745815779586904,56.79131207770203
2015,79.090311,8.336886,6.823074,94.477752,5262.2,83.7131592631459,7.221884364903179,8.824179051169633,55.69776893082723
2016,78.31902,8.426753,7.110105,94.082784,5169.044,83.24479428669967,7.557285932355063,8.956742819175078,54.94144390965301
2017,77.900709,8.418968,7.374186,93.886007,5131.203,82.97371620032791,7.854403691915452,8.967223411684767,54.653543844931015
2018,81.280532,8.438068,7.526065,97.39635,5278.222,83.45336555219984,7.727255692846806,8.66363883246138,54.19322181991419
2019,80.424546,8.451852,7.585664,96.595282,5146.993,83.25929003447602,7.853037791224628,8.749756535728112,53.2841034616991
2020,73.168689,8.251075,7.289745,88.870945,4585.247,82.33139526084706,8.202618977439702,9.284333591816763,51.59444405592851
2021,77.45362,8.130913,7.645284,93.363948,4905.91,82.95880975384632,8.188689707080512,8.708835877420265,52.54608556184878
2022,78.529365,8.06102,8.213669,94.944669,4945.217,82.71066277560038,8.651005987497832,8.490229188117974,52.08525188496891
2023,77.763648,8.098974,8.292613,94.219737,4825.177,82.53435052572902,8.801354433837998,8.595835923422287,51.21195572855399
2024,78.145916,8.165019,8.699237,95.057317,4818.87,82.20925907260775,9.151570099543205,8.589574435390386,50.69436159238536
